"landed_year","dealer_state","dealer_city","total_live_lbs","total_value","total_adjusted_val"
1977,"AL","BAYOU LA BATRE",9386658,13615361,46347462
1977,"AL","BON SECOUR",3772412,4992808,16995801
1977,"AL","CODEN",4334387,5307025,18065415
1977,"AL","DAUPHIN ISLAND",1789636,2176367,7408477
1977,"AL","GULF SHORES",901252,1097896,3737301
1977,"AL","MOBILE",1759620,1869239,6362996
1977,"FL","APALACHICOLA",1283087,1426407,4855572
1977,"FL","CANTONMENT",10180,12165,41410
1977,"FL","CARRABELLE",238262,242517,825542
1977,"FL","CORTEZ",53249,69496,236568
1977,"FL","CRYSTAL RIVER",92891,92188,313813
1977,"FL","DESTIN",2497,3474,11826
1977,"FL","EASTPOINT",131363,108410,369034
1977,"FL","FORT MYERS",376519,598818,2038411
1977,"FL","FORT MYERS BEACH",1062450,1651887,5623116
1977,"FL","KEY WEST",4554339,4999135,17017340
1977,"FL","MARATHON",713859,602941,2052445
1977,"FL","NICEVILLE",123431,159706,543648
1977,"FL","PANACEA",308824,345538,1176230
1977,"FL","PANAMA CITY",727563,944801,3216155
1977,"FL","PENSACOLA",1435224,2097401,7139672
1977,"FL","PLACIDA",55549,88463,301133
1977,"FL","PORT SAINT JOE",377294,445097,1515135
1977,"FL","RUSKIN",20073,23729,80774
1977,"FL","SAINT MARKS",32569,22438,76381
1977,"FL","SAINT PETERSBURG",1477342,1754092,5971028
1977,"FL","SOUTHPORT",92719,102360,348439
1977,"FL","TAMPA",555078,739035,2515715
1977,"FL","TARPON SPRINGS",1461004,1707080,5810997
1977,"LA","ABBEVILLE",249225,155187,528266
1977,"LA","BARATARIA",2373232,3223309,10972327
1977,"LA","BATON ROUGE",865614,578289,1968528
1977,"LA","BERWICK",389005,651574,2217995
1977,"LA","BURAS",98112,110336,375590
1977,"LA","CAMERON",6073376,6583995,22412292
1977,"LA","CHAUVIN",4048587,3147557,10714464
1977,"LA","CUT OFF",2782696,1899335,6465445
1977,"LA","DELCAMBRE",5113111,5070913,17261677
1977,"LA","DULAC",19310038,15599052,53100057
1977,"LA","EMPIRE",86440,69662,237133
1977,"LA","FRANKLIN",389005,651574,2217995
1977,"LA","GOLDEN MEADOW",13486463,15014178,51109111
1977,"LA","GRAND ISLE",5162236,3007248,10236844
1977,"LA","GRETNA",1902502,2009460,6840316
1977,"LA","HACKBERRY",855688,436422,1485605
1977,"LA","HARVEY",433163,391445,1332500
1977,"LA","HOUMA",83689,57179,194639
1977,"LA","LAFAYETTE",1798888,1839659,6262303
1977,"LA","LAFITTE",9858622,10022291,34116447
1977,"LA","MADISONVILLE",215955,206007,701260
1977,"LA","MARRERO",284520,211040,718392
1977,"LA","MONTEGUT",2335911,1326949,4517009
1977,"LA","NEW IBERIA",8382,9961,33908
1977,"LA","NEW ORLEANS",2651217,1608081,5473999
1977,"LA","PATTERSON",1658585,2804787,9547655
1977,"LA","PORT SULPHUR",296355,239775,816208
1977,"LA","RAYNE",402088,198555,675892
1977,"LA","SAINT AMANT",12135,9885,33649
1977,"LA","SAINT BERNARD",657658,354789,1207722
1977,"LA","THERIOT",2650193,1502065,5113115
1977,"LA","VENICE",3121878,2413014,8214037
1977,"LA","WESTWEGO",2141472,1170651,3984963
1977,"MS","BILOXI",2916948,2488309,8470345
1977,"MS","OCEAN SPRINGS",259701,234852,799449
1977,"MS","PASCAGOULA",3462995,3888449,13236501
1977,"MS","PASS CHRISTIAN",188577,140964,479849
1977,"TX","ANAHUAC",749084,595904,2028493
1977,"TX","ARANSAS PASS",19771196,30040050,102258033
1977,"TX","BAYTOWN",18346,12770,43470
1977,"TX","BOLIVAR PENINSULA",2606359,3084773,10500742
1977,"TX","BROWNSVILLE",14794850,20699933,70463745
1977,"TX","DICKINSON",265022,272502,927612
1977,"TX","FREEPORT",14764896,21629445,73627858
1977,"TX","FULTON",2629079,3046857,10371674
1977,"TX","GALVESTON",7300166,9374385,31910935
1977,"TX","INDIANOLA",1457364,936120,3186605
1977,"TX","LOS FRESNOS",2192422,2864961,9752490
1977,"TX","MATAGORDA",264462,228198,776799
1977,"TX","NUECES",3385250,4699831,15998492
1977,"TX","PALACIOS",3650059,5020152,17088883
1977,"TX","PORT ARTHUR",2604132,3349041,11400324
1977,"TX","PORT ISABEL",17637818,24281140,82654378
1977,"TX","PORT LAVACA",2320054,2662113,9061983
1977,"TX","PORT O'CONNOR",2199952,2242284,7632862
1977,"TX","ROCKPORT",1097752,868579,2956692
1977,"TX","SAN LEON",181756,191261,651063
1977,"TX","SEABROOK",1462811,1433871,4880979
1977,"TX","SEADRIFT",861924,659500,2244976
1978,"AL","BAYOU LA BATRE",13902032,21810544,69363602
1978,"FL","APALACHICOLA",4127913,3395957,10800084
1978,"FL","CANTONMENT",2281,3342,10628
1978,"FL","CARRABELLE",704050,669323,2128633
1978,"FL","CEDAR KEY",1770070,408553,1299313
1978,"FL","CHIEFLAND",436504,72858,231709
1978,"FL","CHOKOLOSKEE",363626,327174,1040505
1978,"FL","CLEARWATER",10753,13954,44378
1978,"FL","CORTEZ",103224,167349,532218
1978,"FL","CRAWFORDVILLE",835576,169967,540542
1978,"FL","CROSS CITY",49373,13584,43200
1978,"FL","CRYSTAL RIVER",1307198,293324,932850
1978,"FL","DESTIN",99722,139977,445166
1978,"FL","EASTPOINT",2296467,1714132,5451413
1978,"FL","EVERGLADES",583477,637189,2026439
1978,"FL","FORT MYERS",202521,249352,793009
1978,"FL","FORT MYERS BEACH",994874,1115554,3547774
1978,"FL","FORT WALTON BEACH",56155,64233,204277
1978,"FL","FREEPORT",3516,2642,8402
1978,"FL","GIBSONTON",2275,824,2621
1978,"FL","GREENVILLE",22800,4455,14168
1978,"FL","HOMOSASSA",265699,210296,668800
1978,"FL","HORSESHOE BEACH",217620,35939,114296
1978,"FL","HUDSON",353,226,718
1978,"FL","INDIAN ROCKS BEACH",2790,885,2815
1978,"FL","ISLAMORADA",152770,8030956,25540674
1978,"FL","KEY LARGO",256433,509910,1621656
1978,"FL","KEY WEST",3098662,5606114,17829002
1978,"FL","LARGO",323777,222320,707039
1978,"FL","LECANTO",3875,3959,12590
1978,"FL","MARATHON",2992393,4604191,14642609
1978,"FL","MARCO ISLAND",4997,5645,17953
1978,"FL","MARSHALLBERG",8899,7381,23474
1978,"FL","MATLACHA",25505,7203,22908
1978,"FL","MIAMI",965794,2113711,6722191
1978,"FL","MILTON",17666,12199,38796
1978,"FL","NAPLES",341107,318407,1012622
1978,"FL","NAVARRE",3433,1493,4748
1978,"FL","NEW PORT RICHEY",52219,85236,271075
1978,"FL","NICEVILLE",11542,15049,47860
1978,"FL","NORTH PALM BEACH",14518,23961,76203
1978,"FL","PANACEA",1300334,471584,1499766
1978,"FL","PANAMA CITY",1431404,1962262,6240539
1978,"FL","PANAMA CITY BEACH",720001,846195,2691136
1978,"FL","PENSACOLA",1721999,2461126,7827066
1978,"FL","PERRY",4190,3747,11917
1978,"FL","PLACIDA",52331,62063,197378
1978,"FL","POMPANO BEACH",54968,69385,220664
1978,"FL","PORT SAINT JOE",319009,328796,1045662
1978,"FL","PUNTA GORDA",524355,108745,345840
1978,"FL","RUSKIN",131541,205860,654690
1978,"FL","SAINT JAMES CITY",24664,18899,60105
1978,"FL","SAINT MARKS",367637,255920,813897
1978,"FL","SAINT PETERSBURG",124999,205110,652305
1978,"FL","SARASOTA",3175,3030,9636
1978,"FL","SEBASTIAN",224272,56065,178302
1978,"FL","SOPCHOPPY",140977,35488,112861
1978,"FL","SOUTHPORT",833833,327034,1040058
1978,"FL","STEINHATCHEE",2423187,552730,1757835
1978,"FL","SUMMERLAND KEY",303763,521612,1658871
1978,"FL","SUWANNEE",577443,96355,306436
1978,"FL","TAMPA",617048,891857,2836353
1978,"FL","TARPON SPRINGS",169015,263572,838233
1978,"FL","TAVERNIER",204491,422066,1342287
1978,"FL","TREASURE ISLAND",139150,191628,609429
1978,"LA","ABBEVILLE",363785,326733,1039102
1978,"LA","BARATARIA",2088137,3073929,9775951
1978,"LA","BATON ROUGE",1591424,1037926,3300892
1978,"LA","BELLE CHASSE",205478,94473,300450
1978,"LA","BERWICK",526396,1014285,3225709
1978,"LA","BOOTHVILLE",2620881,2882369,9166736
1978,"LA","BURAS",487020,268960,855368
1978,"LA","CAMERON",5789254,6279528,19970646
1978,"LA","CHAUVIN",6736706,5732131,18229774
1978,"LA","CUT OFF",2919263,1865182,5931799
1978,"LA","DELACROIX",92592,148812,473262
1978,"LA","DELCAMBRE",8216352,10609843,33742254
1978,"LA","DULAC",16762169,15849579,50406073
1978,"LA","EMPIRE",92219,42099,133887
1978,"LA","FRANKLIN",526396,1014285,3225709
1978,"LA","GOLDEN MEADOW",17498917,23016729,73199602
1978,"LA","GRAND ISLE",4525879,2369330,7535127
1978,"LA","GRETNA",1666789,1806406,5744874
1978,"LA","HACKBERRY",3206674,1760677,5599445
1978,"LA","HARVEY",625319,688045,2188173
1978,"LA","HOUMA",2030358,1457853,4636379
1978,"LA","LAFAYETTE",2805580,3814651,12131652
1978,"LA","LAFITTE",9341129,12416812,39488918
1978,"LA","MARRERO",131209,81008,257628
1978,"LA","MONTEGUT",3746831,2196493,6985458
1978,"LA","NEW ORLEANS",1137109,800727,2546535
1978,"LA","PATTERSON",1532637,3085872,9813932
1978,"LA","RAYNE",24578,10560,33583
1978,"LA","SAINT AMANT",12803,6362,20233
1978,"LA","SAINT BERNARD",927347,711550,2262926
1978,"LA","THERIOT",2782474,1481085,4710262
1978,"LA","VENICE",3597826,2781217,8845045
1978,"LA","VIOLET",1781081,938632,2985110
1978,"LA","WESTWEGO",1410847,719191,2287229
1978,"MS","BILOXI",3803135,3523144,11204578
1978,"MS","GULFPORT",764556,652770,2075990
1978,"MS","MOSS POINT",1257,1224,3893
1978,"MS","OCEAN SPRINGS",97372,129278,411140
1978,"MS","PASCAGOULA",1889277,2652977,8437205
1978,"MS","PASS CHRISTIAN",48614,90835,288881
1978,"TX","ANAHUAC",1384150,1343837,4273775
1978,"TX","ARANSAS PASS",18230564,34302647,109091965
1978,"TX","BAYTOWN",6004,3518,11188
1978,"TX","BOLIVAR PENINSULA",3226813,4950984,15745507
1978,"TX","BROWNSVILLE",14942974,27201520,86508403
1978,"TX","DICKINSON",412007,487648,1550857
1978,"TX","FREEPORT",13025917,23641028,75185049
1978,"TX","FULTON",1777281,2682061,8529700
1978,"TX","GALVESTON",6067182,9325837,29658756
1978,"TX","INDIANOLA",1096152,910095,2894355
1978,"TX","LOS FRESNOS",1629582,2582617,8213441
1978,"TX","MATAGORDA",309552,345099,1097511
1978,"TX","NUECES",3086879,5023475,15976048
1978,"TX","PALACIOS",3203251,5438447,17295774
1978,"TX","PORT ARTHUR",3090413,3634787,11559634
1978,"TX","PORT ISABEL",15340600,26667418,84809818
1978,"TX","PORT LAVACA",2279955,3049229,9697397
1978,"TX","PORT O'CONNOR",1956570,2666106,8478959
1978,"TX","ROCKPORT",922147,785574,2498344
1978,"TX","SAN LEON",240791,198591,631574
1978,"TX","SEABROOK",1284808,1468400,4669920
1978,"TX","SEADRIFT",654573,424205,1349090
1979,"AL","BAYOU LA BATRE",14375634,33333751,97890041
1979,"FL","APALACHICOLA",4856924,5789382,17001475
1979,"FL","BOKEELIA",17,7,21
1979,"FL","CANTONMENT",1234,2822,8287
1979,"FL","CARRABELLE",891148,1307388,3839361
1979,"FL","CEDAR KEY",1807001,515961,1515205
1979,"FL","CHIEFLAND",443023,73413,215589
1979,"FL","CHOKOLOSKEE",296866,364470,1070326
1979,"FL","CLEARWATER",23804,28359,83281
1979,"FL","CORTEZ",227722,395048,1160122
1979,"FL","CRAWFORDVILLE",428300,90003,264308
1979,"FL","CROSS CITY",4746,5472,16069
1979,"FL","CRYSTAL RIVER",1334454,524124,1539177
1979,"FL","DESTIN",88718,176214,517483
1979,"FL","EASTPOINT",3036745,3014269,8851903
1979,"FL","EVERGLADES CITY",765804,1039098,3051483
1979,"FL","FORT MYERS",3463779,8437854,24779145
1979,"FL","FORT MYERS BEACH",1936698,3557806,10448083
1979,"FL","FORT WALTON BEACH",45868,61739,181306
1979,"FL","FREEPORT",2812,841,2470
1979,"FL","GIBSONTON",3025,689,2023
1979,"FL","GREENVILLE",26600,5315,15608
1979,"FL","HOMOSASSA",645713,392707,1153248
1979,"FL","HORSESHOE BEACH",316440,54392,159731
1979,"FL","HUDSON",5238,7463,21916
1979,"FL","INDIAN ROCKS BEACH",1632,466,1369
1979,"FL","INVERNESS",38,11,32
1979,"FL","ISLAMORADA",305953,473696,1391085
1979,"FL","KEY LARGO",480417,886567,2603549
1979,"FL","KEY WEST",11373260,20885886,61334837
1979,"FL","LARGO",266759,136126,399757
1979,"FL","LECANTO",56109,59554,174890
1979,"FL","MARATHON",4208317,6507932,19111612
1979,"FL","MARCO ISLAND",23500,42575,125028
1979,"FL","MARSHALLBERG",18680,15354,45090
1979,"FL","MATLACHA",455,151,443
1979,"FL","MIAMI",1627252,3058714,8982416
1979,"FL","MILTON",31246,16621,48811
1979,"FL","NAPLES",437109,557187,1636272
1979,"FL","NAVARRE",503,126,370
1979,"FL","NEW PORT RICHEY",25217,39049,114673
